,count,mean,std,min,25%,50%,75%,max,missing,missing_pct
TOTALDOL,9387.0,1990.2969883881963,991.40099094977,213.74,1351.92,1810.08,2413.74,18176.89,0,0.0
NHSLDMEM,9387.0,2.4970704165335036,1.3593858302734076,1.0,2.0,2.0,3.0,7.0,0,0.0
HHAGE,9387.0,55.34174922765527,16.855604624370763,18.0,42.0,56.0,68.0,90.0,0,0.0
HHSEX,9387.0,1.481410461276233,0.49968092583846213,1.0,1.0,1.0,2.0,2.0,0,0.0
EDUCATION,9387.0,3.48087780973687,1.1170242559837156,1.0,3.0,4.0,4.0,5.0,0,0.0
ELPAY,9387.0,1.0535847448599127,1.0390852486627056,1.0,1.0,1.0,1.0,99.0,0,0.0
NGPAY,9387.0,1.1342281879194631,3.5363153960522253,-2.0,1.0,1.0,1.0,99.0,0,0.0
PAYHELP,9387.0,-1.834878022797486,0.5956426886871158,-2.0,-2.0,-2.0,-2.0,1.0,0,0.0
SCALEE,9387.0,0.1789709172259508,0.6594175783394757,0.0,0.0,0.0,0.0,3.0,0,0.0
SCALEG,9387.0,0.14871630979013528,0.5760316745126677,0.0,0.0,0.0,0.0,3.0,0,0.0
NWEIGHT1,9387.0,6463.191434698761,3710.74300835649,0.0,3998.6918733,6006.7331579,8578.13759785,25649.360841,0,0.0
NWEIGHT2,9387.0,6470.502651637943,3689.3281362408616,0.0,4004.1766072,6018.4725751,8584.7183919,24946.884857,0,0.0
NWEIGHT3,9387.0,6466.430705193268,3703.035994378506,0.0,4002.2402875999996,6001.7567523,8577.504120149999,25109.177569,0,0.0
NWEIGHT4,9387.0,6473.760701497527,3696.758914397813,0.0,4002.8570467,6003.3511022,8598.56618755,25213.631117,0,0.0
NWEIGHT5,9387.0,6475.474526138493,3708.27610832883,0.0,4014.0652799,5993.9369873,8587.709077399999,25681.837003,0,0.0
NWEIGHT6,9387.0,6467.756333079276,3690.218303191546,0.0,4015.0919661999997,5990.7402782,8556.77225935,25481.864049,0,0.0
NWEIGHT7,9387.0,6471.298830018846,3702.4388849645793,0.0,4002.2183535,5990.0221615,8581.32435385,24883.252262,0,0.0
NWEIGHT8,9387.0,6472.294491698861,3696.302865833623,0.0,4014.1079315,5992.7003543,8571.3367737,25405.954781,0,0.0
NWEIGHT9,9387.0,6466.624138710683,3707.1958810971596,0.0,3999.8231942,5984.4189649,8555.1092646,25231.624866,0,0.0
NWEIGHT10,9387.0,6469.9273786782005,3699.3664021207583,0.0,4008.5025475499997,6014.2806116,8581.53584365,25361.483117,0,0.0
NWEIGHT11,9387.0,6475.5128594063235,3694.9044198586694,0.0,4022.2808182,6000.6487152,8605.94853035,25139.944104,0,0.0
NWEIGHT12,9387.0,6466.132546758471,3705.9316177346886,0.0,4000.5487230999997,6017.8005363,8582.87402525,25554.179126,0,0.0
NWEIGHT13,9387.0,6486.562630917318,3699.563562715445,0.0,4036.00763465,6013.9143673,8597.31695645,25230.167807,0,0.0
NWEIGHT14,9387.0,6473.718661497095,3695.1699553314234,0.0,4032.4328495500004,6011.2576521,8573.8381166,25578.801691,0,0.0
NWEIGHT15,9387.0,6471.958462149548,3712.522491994173,0.0,4003.8520602999997,5994.3493224,8598.386824199999,25389.373063,0,0.0
NWEIGHT16,9387.0,6475.8923117760905,3704.8887027376427,0.0,4024.1711193,5999.4188466,8584.694720899999,25478.579782,0,0.0
NWEIGHT17,9387.0,6457.085938322981,3708.2662047101007,0.0,3997.0718099,5981.7526819,8561.39515615,26376.814827,0,0.0
NWEIGHT18,9387.0,6468.582237471688,3699.7796788728915,0.0,3998.13864595,6002.0234474,8604.907325150001,25248.427347,0,0.0
NWEIGHT19,9387.0,6471.700516017885,3697.2701268266237,0.0,4008.2058023,6007.356829,8574.8613658,25026.559386,0,0.0
NWEIGHT20,9387.0,6467.19171617271,3711.0804039290756,0.0,3999.8258119,5996.572926,8563.9327635,25520.812639,0,0.0
NWEIGHT21,9387.0,6462.359968620403,3708.6789089951635,0.0,4008.9176631,5983.7860092,8576.2624906,25571.03583,0,0.0
NWEIGHT22,9387.0,6464.882746652767,3696.5337580819346,0.0,4013.9049457,6000.9192689,8579.78717515,25108.885784,0,0.0
NWEIGHT23,9387.0,6472.869434987131,3701.6563926064364,0.0,4014.2779599,6011.629632,8544.1860979,25889.506915,0,0.0
NWEIGHT24,9387.0,6457.024235040648,3708.117661935263,0.0,4001.7526223,5995.4196098,8567.7717988,25349.685507,0,0.0
NWEIGHT25,9387.0,6466.073812659626,3700.838049721996,0.0,4006.60574435,5994.4375555,8566.51983345,26125.470968,0,0.0
NWEIGHT26,9387.0,6486.3358091065675,3685.017496944934,0.0,4047.0946648999998,6018.2508105,8580.8977395,25469.791262,0,0.0
NWEIGHT27,9387.0,6464.99655857216,3707.865813511278,0.0,4006.9911929,5982.7518032,8571.2056706,25853.8168,0,0.0
NWEIGHT28,9387.0,6476.587209468572,3699.0292786018954,0.0,4020.12116065,6003.4640042,8595.891255,25090.638406,0,0.0
NWEIGHT29,9387.0,6483.444057249,3693.685297577734,0.0,4028.8026631000002,6015.7453231,8598.80866055,26264.038167,0,0.0
NWEIGHT30,9387.0,6478.62348504718,3694.615676045291,0.0,4018.997809,6006.5033799,8563.150515199999,25907.27261,0,0.0
NWEIGHT31,9387.0,6479.976167406497,3700.7112583679123,0.0,4014.9233133999996,6024.054435,8581.9679961,24976.291994,0,0.0
NWEIGHT32,9387.0,6468.005812906533,3697.6962041016545,0.0,4007.9565383999998,6035.0008507,8604.89956865,24870.737666,0,0.0
NWEIGHT33,9387.0,6472.751439955952,3695.1868191566405,0.0,4018.4075633,6028.6167404,8588.716475000001,24919.137817,0,0.0
NWEIGHT34,9387.0,6467.223257449134,3700.652963929004,0.0,3995.9453061,5997.1270602,8576.93965925,25180.691548,0,0.0
NWEIGHT35,9387.0,6471.867038945814,3697.9646175584203,0.0,4021.78999575,6000.3651942,8580.36918025,25695.605739,0,0.0
NWEIGHT36,9387.0,6469.1109576339195,3701.5480395295026,0.0,4017.3268527,6005.5988972,8576.2448947,25752.938809,0,0.0
NWEIGHT37,9387.0,6479.882334848907,3713.189030065481,0.0,4010.0519366500002,5998.8964877,8582.6188407,26257.573662,0,0.0
NWEIGHT38,9387.0,6475.646061997531,3699.3256178727884,0.0,4022.9337762,6009.5026207,8570.9110153,25703.576477,0,0.0
NWEIGHT39,9387.0,6475.072103757873,3716.1968645879647,0.0,4005.02027435,6004.0924053,8579.9291454,25282.93611,0,0.0
NWEIGHT40,9387.0,6462.196177977753,3710.855099252406,0.0,4009.2776408500004,5998.4086293,8568.5684966,26285.600913,0,0.0
NWEIGHT41,9387.0,6468.479578031721,3697.562159703702,0.0,4028.434032,5991.2636118,8562.9830948,25080.027955,0,0.0
NWEIGHT42,9387.0,6463.111539860082,3700.4362289784794,0.0,4003.37716645,5999.5578306,8572.79096025,25403.588846,0,0.0
NWEIGHT43,9387.0,6461.118509972949,3704.25861353615,0.0,3991.4572184500003,6003.6055968,8579.1388681,25379.664636,0,0.0
NWEIGHT44,9387.0,6476.525270973602,3698.130737251224,0.0,4019.4509381,5993.485527,8596.1469336,25391.466126,0,0.0
NWEIGHT45,9387.0,6470.832583532551,3705.1147252257447,0.0,3992.3647256,6003.5397312,8592.09703605,25686.613637,0,0.0
NWEIGHT46,9387.0,6468.534372117054,3692.004997244481,0.0,4009.5147839,6021.1649354,8579.332409949999,25001.4003,0,0.0
NWEIGHT47,9387.0,6472.7584597036275,3709.471041141613,0.0,4008.44419185,6017.652977,8587.3369872,25609.867292,0,0.0
NWEIGHT48,9387.0,6458.18008584454,3700.855070137819,0.0,3995.5401561999997,5976.3792956,8592.3398669,25216.554274,0,0.0
NWEIGHT49,9387.0,6465.3706799923,3705.9460437231887,0.0,4009.441637,6002.6624468,8605.7528097,25276.02083,0,0.0
NWEIGHT50,9387.0,6463.771547321298,3702.247888379815,0.0,3999.5696608,6000.1994761,8590.44397545,26096.002132,0,0.0
NWEIGHT51,9387.0,6462.248411473673,3697.181044112322,0.0,3994.8344752499997,5993.754139,8593.59433965,24892.48073,0,0.0
NWEIGHT52,9387.0,6482.9952191357825,3698.337265755737,0.0,4015.1307361500003,6013.5480292,8609.2472105,25358.131595,0,0.0
NWEIGHT53,9387.0,6461.093137844639,3705.344115181927,0.0,3997.70624935,6016.9001446,8583.65715765,25932.41657,0,0.0
NWEIGHT54,9387.0,6470.79114421967,3702.3780784282185,0.0,4006.33627265,6004.5173277,8570.62265235,25350.463286,0,0.0
NWEIGHT55,9387.0,6476.133279588062,3702.454114533308,0.0,4001.72832625,6016.1562426,8594.13049555,24986.6103,0,0.0
NWEIGHT56,9387.0,6471.797222637265,3699.1188190849707,0.0,4009.4293297000004,6008.0395203,8576.7131981,24745.353481,0,0.0
NWEIGHT57,9387.0,6475.9735837426,3707.548284149893,0.0,3999.2368613,5994.044998,8590.0409859,25357.39904,0,0.0
NWEIGHT58,9387.0,6471.995627938335,3694.488446728821,0.0,4023.2546542,6000.5379286,8578.6893572,25427.391593,0,0.0
NWEIGHT59,9387.0,6465.557064688925,3694.979998191005,0.0,4016.7394876,5982.3896301,8575.34446335,25283.182593,0,0.0
NWEIGHT60,9387.0,6470.920137518205,3700.8237532355597,0.0,4009.7769552,5997.4844872,8580.379531350001,25364.544185,0,0.0
E_heat_btu,9387.0,47972.3162393736,30259.996529668726,27.692,27498.4185,42623.161,61074.93,794296.0829999999,0,0.0
E_heat_therm,9387.0,0.47972316239373597,0.3025999652966873,0.00027692,0.274984185,0.42623161,0.6107492999999999,7.942960829999999,0,0.0
E_heat_kwh_equiv,9387.0,14.059881664529192,8.868697693337845,0.008116060961313,8.059325468933178,12.492133939038688,17.90003810082063,232.79486606096128,0,0.0
A_heated,9387.0,1972.5918823905401,1084.7649441080007,290.0,1200.0,1760.0,2500.0,15000.0,0,0.0
Thermal_Intensity_I,9387.0,0.006736616423437214,0.00418918134720198,4.358714043993232e-06,0.0037247897458293497,0.0056719645605392,0.0085266766099946,0.0237827118644067,0,0.0
envelope_score,9387.0,9.14189837008629,2.4833344233934618,0.0,8.0,9.0,11.0,16.0,0,0.0
building_age,9387.0,42.9754980291893,24.456653263043926,2.0,25.0,45.0,65.0,80.0,0,0.0
heating_equip_age,7545.0,9.3558648111332,5.438627785337764,1.0,4.0,8.0,13.0,18.0,1842,19.62
log_sqft,9387.0,7.448523572475596,0.5334377323734412,5.673323267171493,7.090909822079984,7.473637108496206,7.824445930877619,9.61587214452889,0,0.0
hdd_sqft_interaction,9387.0,9.36058108980505,7.166602075505333,0.1992,4.23215,7.41273,12.5667,82.18165,0,0.0
heating_per_sqft,9387.0,27.797938741418886,17.519072039254958,0.0214666666666666,16.08246007434944,23.51176842105263,35.16973208333333,203.76415111111112,0,0.0
