feature,importance
age_hdd,0.1902793607043946
sqft_per_hdd,0.1633496141501561
hdd_sqft,0.14841369666168777
log_sqft,0.10711682071354915
HDD65,0.10357256866165007
hdd_squared,0.10012541748390962
envelope_score,0.06638628399878382
ADQINSUL,0.032194826162271505
TYPEHUQ,0.026930040376621243
DRAFTY,0.026199891947771
building_age,0.02613591102882644
envelope_class_encoded,0.006986295180737965
climate_zone_encoded,0.002309272929640564
