HDD65,log_sqft,building_age,envelope_score,hdd_sqft,age_hdd,sqft_per_hdd,hdd_squared,envelope_class_encoded,climate_zone_encoded,TYPEHUQ,ADQINSUL,DRAFTY
4411,6.721425700790643,15,9.0,3.66113,6.6165,0.1881659487644525,1.9456921,1,2,5,1,4
2840,7.258412150595307,45,12.0,4.0328,12.78,0.5,0.80656,0,1,2,1,3
6406,8.316300249036848,35,9.0,26.20054,22.421,0.6384639400561973,4.1036836,1,0,2,2,3
6044,7.783224016336037,35,9.0,14.5056,21.154,0.3970880211780278,3.6529936,1,0,2,2,4
5844,7.029972911706386,55,8.0,6.60372,32.142,0.19336071184120465,3.4152336,1,2,5,2,4
6937,7.038783541388542,25,12.0,7.90818,17.3425,0.16433616837249532,4.8121969,0,0,5,2,3
6304,5.521460917862246,25,12.0,1.576,15.76,0.03965736040609137,3.9740416,0,0,3,2,3
4667,8.400659375160286,55,9.0,20.76815,25.6685,0.9535033211913435,2.1780889,1,2,2,1,2
4342,4.605170185988092,7,14.0,0.0,3.0394,0.0,1.8852964,0,2,2,1,3
1123,6.907755278982137,7,6.0,1.123,0.7861,0.8904719501335708,0.1261129,1,1,4,4,4
2282,4.605170185988092,80,8.0,0.0,18.256,0.0,0.5207524,1,1,2,1,4
4174,6.856461984594587,55,6.0,3.9653,22.957,0.2275994250119789,1.7422276,1,2,3,3,2
7089,6.907755278982137,7,14.0,7.089,4.9623,0.1410636196924813,5.0253921,0,0,5,1,3
8181,7.6638772587034705,15,11.0,17.42553,12.2715,0.2603593692702604,6.6928761,0,0,2,1,4
4308,7.549609165154532,65,8.0,8.1852,28.002,0.44103992571959144,1.8558864,1,2,2,2,3
8780,5.480638923341991,80,3.0,2.1072,70.24,0.02733485193621868,7.70884,2,0,2,3,2
3620,6.522092798170152,15,11.0,2.4616,5.43,0.1878453038674033,1.31044,0,2,5,1,4
7176,6.684611727667927,55,5.0,5.7408,39.468,0.11148272017837235,5.1494976,2,0,5,4,3
4730,7.408530566894626,55,6.0,7.8045,26.015,0.3488372093023256,2.23729,1,2,2,3,2
