hdd,electricity_price,gas_price,envelope_class,grid_scenario,grid_emission_factor,baseline_cost,baseline_emissions,best_hp_cost,best_hp_emissions,best_hp_retrofit,best_hp_type,cost_savings,emissions_reduction,is_economically_viable,is_environmentally_beneficial,viability_class
1500,0.15,0.8,poor,current,0.42,360.0,2385.0,1608.2930148681248,1266.1195779601405,No Retrofit,Standard Heat Pump,-1248.2930148681248,1118.8804220398595,False,True,env_only
1500,0.15,0.8,poor,moderate_decarb,0.25,360.0,2385.0,1608.2930148681248,753.6426059286551,No Retrofit,Standard Heat Pump,-1248.2930148681248,1631.357394071345,False,True,env_only
1500,0.15,0.8,poor,high_decarb,0.1,360.0,2385.0,1608.2930148681248,301.4570423714621,No Retrofit,Standard Heat Pump,-1248.2930148681248,2083.542957628538,False,True,env_only
1500,0.15,0.8,medium,current,0.42,240.0,1590.0,1457.5644936823937,844.0797186400938,No Retrofit,Standard Heat Pump,-1217.5644936823937,745.9202813599062,False,True,env_only
1500,0.15,0.8,medium,moderate_decarb,0.25,240.0,1590.0,1457.5644936823937,502.4284039524368,No Retrofit,Standard Heat Pump,-1217.5644936823937,1087.5715960475632,False,True,env_only
1500,0.15,0.8,medium,high_decarb,0.1,240.0,1590.0,1457.5644936823937,200.97136158097473,No Retrofit,Standard Heat Pump,-1217.5644936823937,1389.0286384190254,False,True,env_only
1500,0.15,0.8,good,current,0.42,150.0,993.75,1344.5181027930955,527.5498241500586,No Retrofit,Standard Heat Pump,-1194.5181027930955,466.2001758499414,False,True,env_only
1500,0.15,0.8,good,moderate_decarb,0.25,150.0,993.75,1344.5181027930955,314.017752470273,No Retrofit,Standard Heat Pump,-1194.5181027930955,679.7322475297269,False,True,env_only
1500,0.15,0.8,good,high_decarb,0.1,150.0,993.75,1344.5181027930955,125.60710098810921,No Retrofit,Standard Heat Pump,-1194.5181027930955,868.1428990118908,False,True,env_only
1500,0.15,1.0,poor,current,0.42,450.0,2385.0,1608.2930148681248,1266.1195779601405,No Retrofit,Standard Heat Pump,-1158.2930148681248,1118.8804220398595,False,True,env_only
1500,0.15,1.0,poor,moderate_decarb,0.25,450.0,2385.0,1608.2930148681248,753.6426059286551,No Retrofit,Standard Heat Pump,-1158.2930148681248,1631.357394071345,False,True,env_only
1500,0.15,1.0,poor,high_decarb,0.1,450.0,2385.0,1608.2930148681248,301.4570423714621,No Retrofit,Standard Heat Pump,-1158.2930148681248,2083.542957628538,False,True,env_only
1500,0.15,1.0,medium,current,0.42,300.0,1590.0,1457.5644936823937,844.0797186400938,No Retrofit,Standard Heat Pump,-1157.5644936823937,745.9202813599062,False,True,env_only
1500,0.15,1.0,medium,moderate_decarb,0.25,300.0,1590.0,1457.5644936823937,502.4284039524368,No Retrofit,Standard Heat Pump,-1157.5644936823937,1087.5715960475632,False,True,env_only
1500,0.15,1.0,medium,high_decarb,0.1,300.0,1590.0,1457.5644936823937,200.97136158097473,No Retrofit,Standard Heat Pump,-1157.5644936823937,1389.0286384190254,False,True,env_only
1500,0.15,1.0,good,current,0.42,187.5,993.75,1344.5181027930955,527.5498241500586,No Retrofit,Standard Heat Pump,-1157.0181027930955,466.2001758499414,False,True,env_only
1500,0.15,1.0,good,moderate_decarb,0.25,187.5,993.75,1344.5181027930955,314.017752470273,No Retrofit,Standard Heat Pump,-1157.0181027930955,679.7322475297269,False,True,env_only
1500,0.15,1.0,good,high_decarb,0.1,187.5,993.75,1344.5181027930955,125.60710098810921,No Retrofit,Standard Heat Pump,-1157.0181027930955,868.1428990118908,False,True,env_only
1500,0.15,1.2,poor,current,0.42,540.0,2385.0,1608.2930148681248,1266.1195779601405,No Retrofit,Standard Heat Pump,-1068.2930148681248,1118.8804220398595,False,True,env_only
1500,0.15,1.2,poor,moderate_decarb,0.25,540.0,2385.0,1608.2930148681248,753.6426059286551,No Retrofit,Standard Heat Pump,-1068.2930148681248,1631.357394071345,False,True,env_only
1500,0.15,1.2,poor,high_decarb,0.1,540.0,2385.0,1608.2930148681248,301.4570423714621,No Retrofit,Standard Heat Pump,-1068.2930148681248,2083.542957628538,False,True,env_only
1500,0.15,1.2,medium,current,0.42,360.0,1590.0,1457.5644936823937,844.0797186400938,No Retrofit,Standard Heat Pump,-1097.5644936823937,745.9202813599062,False,True,env_only
1500,0.15,1.2,medium,moderate_decarb,0.25,360.0,1590.0,1457.5644936823937,502.4284039524368,No Retrofit,Standard Heat Pump,-1097.5644936823937,1087.5715960475632,False,True,env_only
1500,0.15,1.2,medium,high_decarb,0.1,360.0,1590.0,1457.5644936823937,200.97136158097473,No Retrofit,Standard Heat Pump,-1097.5644936823937,1389.0286384190254,False,True,env_only
1500,0.15,1.2,good,current,0.42,225.0,993.75,1344.5181027930955,527.5498241500586,No Retrofit,Standard Heat Pump,-1119.5181027930955,466.2001758499414,False,True,env_only
1500,0.15,1.2,good,moderate_decarb,0.25,225.0,993.75,1344.5181027930955,314.017752470273,No Retrofit,Standard Heat Pump,-1119.5181027930955,679.7322475297269,False,True,env_only
1500,0.15,1.2,good,high_decarb,0.1,225.0,993.75,1344.5181027930955,125.60710098810921,No Retrofit,Standard Heat Pump,-1119.5181027930955,868.1428990118908,False,True,env_only
1500,0.15,1.5,poor,current,0.42,675.0,2385.0,1608.2930148681248,1266.1195779601405,No Retrofit,Standard Heat Pump,-933.2930148681248,1118.8804220398595,False,True,env_only
1500,0.15,1.5,poor,moderate_decarb,0.25,675.0,2385.0,1608.2930148681248,753.6426059286551,No Retrofit,Standard Heat Pump,-933.2930148681248,1631.357394071345,False,True,env_only
1500,0.15,1.5,poor,high_decarb,0.1,675.0,2385.0,1608.2930148681248,301.4570423714621,No Retrofit,Standard Heat Pump,-933.2930148681248,2083.542957628538,False,True,env_only
1500,0.15,1.5,medium,current,0.42,450.0,1590.0,1457.5644936823937,844.0797186400938,No Retrofit,Standard Heat Pump,-1007.5644936823937,745.9202813599062,False,True,env_only
1500,0.15,1.5,medium,moderate_decarb,0.25,450.0,1590.0,1457.5644936823937,502.4284039524368,No Retrofit,Standard Heat Pump,-1007.5644936823937,1087.5715960475632,False,True,env_only
1500,0.15,1.5,medium,high_decarb,0.1,450.0,1590.0,1457.5644936823937,200.97136158097473,No Retrofit,Standard Heat Pump,-1007.5644936823937,1389.0286384190254,False,True,env_only
1500,0.15,1.5,good,current,0.42,281.25,993.75,1344.5181027930955,527.5498241500586,No Retrofit,Standard Heat Pump,-1063.2681027930955,466.2001758499414,False,True,env_only
1500,0.15,1.5,good,moderate_decarb,0.25,281.25,993.75,1344.5181027930955,314.017752470273,No Retrofit,Standard Heat Pump,-1063.2681027930955,679.7322475297269,False,True,env_only
1500,0.15,1.5,good,high_decarb,0.1,281.25,993.75,1344.5181027930955,125.60710098810921,No Retrofit,Standard Heat Pump,-1063.2681027930955,868.1428990118908,False,True,env_only
1500,0.18,0.8,poor,current,0.42,360.0,2385.0,1698.7301275795635,1266.1195779601405,No Retrofit,Standard Heat Pump,-1338.7301275795635,1118.8804220398595,False,True,env_only
1500,0.18,0.8,poor,moderate_decarb,0.25,360.0,2385.0,1698.7301275795635,753.6426059286551,No Retrofit,Standard Heat Pump,-1338.7301275795635,1631.357394071345,False,True,env_only
